P_emaildomain,count,sum,mean,fraud_rate_percentage
aim.com,315,40,0.12698412698412698,12.698412698412698
anonymous.com,36998,859,0.02321747121466025,2.321747121466025
aol.com,28289,617,0.021810597758846195,2.1810597758846195
att.net,4033,30,0.007438631291842301,0.7438631291842301
bellsouth.net,1909,53,0.02776322682032478,2.776322682032478
cableone.net,159,3,0.018867924528301886,1.8867924528301887
centurylink.net,205,0,0.0,0.0
cfl.rr.com,172,0,0.0,0.0
charter.net,816,25,0.030637254901960783,3.063725490196078
comcast.net,7888,246,0.03118661257606491,3.118661257606491
cox.net,1393,29,0.0208183776022972,2.0818377602297202
earthlink.net,514,11,0.021400778210116732,2.140077821011673
embarqmail.com,260,9,0.03461538461538462,3.4615384615384617
frontier.com,280,8,0.02857142857142857,2.857142857142857
frontiernet.net,195,5,0.02564102564102564,2.564102564102564
gmail,496,11,0.02217741935483871,2.217741935483871
gmail.com,228355,9943,0.043541853692715286,4.354185369271528
gmx.de,149,0,0.0,0.0
hotmail.co.uk,112,0,0.0,0.0
hotmail.com,45250,2396,0.052950276243093924,5.295027624309393
hotmail.de,43,0,0.0,0.0
hotmail.es,305,20,0.06557377049180328,6.557377049180328
hotmail.fr,295,0,0.0,0.0
icloud.com,6267,197,0.03143449816499123,3.143449816499123
juno.com,322,6,0.018633540372670808,1.8633540372670807
live.com,3041,84,0.027622492601118053,2.762249260111805
live.com.mx,749,41,0.05473965287049399,5.473965287049399
live.fr,56,0,0.0,0.0
mac.com,436,14,0.03211009174311927,3.211009174311927
mail.com,559,106,0.18962432915921287,18.962432915921287
me.com,1522,27,0.017739816031537452,1.7739816031537452
msn.com,4092,90,0.021994134897360705,2.1994134897360706
netzero.com,230,0,0.0,0.0
netzero.net,196,1,0.00510204081632653,0.5102040816326531
optonline.net,1011,17,0.016815034619188922,1.6815034619188922
outlook.com,5096,482,0.0945839874411303,9.45839874411303
outlook.es,438,57,0.13013698630136986,13.013698630136986
prodigy.net.mx,207,1,0.004830917874396135,0.4830917874396135
protonmail.com,76,31,0.40789473684210525,40.78947368421053
ptd.net,68,0,0.0,0.0
q.com,189,0,0.0,0.0
roadrunner.com,305,3,0.009836065573770493,0.9836065573770493
rocketmail.com,664,2,0.0030120481927710845,0.30120481927710846
sbcglobal.net,2970,12,0.00404040404040404,0.40404040404040403
sc.rr.com,164,1,0.006097560975609756,0.6097560975609756
servicios-ta.com,35,0,0.0,0.0
suddenlink.net,175,4,0.022857142857142857,2.2857142857142856
twc.com,230,0,0.0,0.0
verizon.net,2705,22,0.008133086876155268,0.8133086876155268
web.de,240,0,0.0,0.0
windstream.net,305,0,0.0,0.0
yahoo.co.jp,32,0,0.0,0.0
yahoo.co.uk,49,0,0.0,0.0
yahoo.com,100934,2297,0.02275744545940912,2.275744545940912
yahoo.com.mx,1543,16,0.010369410239792612,1.0369410239792611
yahoo.de,74,0,0.0,0.0
yahoo.es,134,2,0.014925373134328358,1.4925373134328357
yahoo.fr,143,5,0.03496503496503497,3.4965034965034967
ymail.com,2396,50,0.020868113522537562,2.0868113522537564
