,isFraud
V257,0.38305975102060397
V246,0.3668776990983748
V244,0.3641291589611937
V242,0.3605904902659568
V201,0.3280050345981478
V200,0.3187825140584447
V189,0.3082194603691195
V188,0.30358227133771953
V258,0.29715149798963275
V45,0.28183194637642134
V158,0.27806624478809994
V156,0.27595208951457123
V149,0.2732821052990572
V228,0.26886098278183895
V44,0.26037616734620606
V86,0.25182798642396304
V87,0.25173744221272076
V170,0.24979447724564008
V147,0.24289437453977428
V52,0.23946916785411795
V157,0.23486636956002552
V155,0.23419901739687005
V230,0.2317398124870644
V199,0.23102431150770478
V148,0.22889104114794925
V51,0.22319110216658028
V171,0.21650849435378303
V40,0.2124418297830187
V243,0.21023818475957792
V154,0.20695843357229918
V190,0.205148354991599
V39,0.203096529078432
V38,0.1990045102987051
V146,0.19858410836535845
V43,0.19827388575876356
V140,0.19693821962354502
V79,0.19414094448022906
V42,0.18942828273161452
V94,0.1884070949774233
V74,0.18591509316375396
V33,0.18348618906163106
V153,0.1831138405725853
V17,0.18267262266154075
V18,0.18254989816551212
V81,0.18237723430444466
V93,0.18098315664199877
V92,0.18051313293680654
V34,0.18030059415433494
V80,0.18029947217066442
V50,0.17995328566602795
V247,0.1797106997798377
V15,0.1779630498131708
V37,0.17694684591219922
V16,0.17431823036772803
V73,0.17387006465052374
V58,0.17306531089992858
V84,0.16911015898484263
V57,0.16888690850681953
V85,0.16883986941250217
V222,0.16638276427445137
V21,0.16598476139524868
V176,0.16434304217518025
V47,0.16411406343502632
V31,0.1631664822385625
V72,0.16095093557360612
V32,0.16019713121106818
V22,0.15881448337431328
V77,0.1583812099092233
V71,0.15684043831029348
card3,0.15415133308433213
V197,0.15398373154402414
V252,0.15336400048669901
V63,0.15335271668670167
V259,0.15163812747111396
V59,0.1510615234115286
V60,0.15095177763742001
V78,0.15042457212509439
V64,0.1503707302678547
V262,0.15033842322934013
id_17,0.15010045992494603
V23,0.14940777371533034
V186,0.1489080729313863
V139,0.14759400119745014
V194,0.147203911509118
V195,0.14705171587108432
D8,-0.14263641015849926
V239,0.14139452619942142
V198,0.13990292115480388
V123,0.1382216547330133
V229,0.13722545964943816
V302,0.1329034723951968
V221,0.132545185778226
V304,0.13149791827621687
D7,-0.12719850708196545
V46,0.12599085488591755
V260,0.12488856705074132
V303,0.12428666375043948
V24,0.12382430317338756
V111,0.12160956073759895
V184,0.12139441667120072
id_01,-0.12009888526804252
id_22,0.1184086017481463
V238,0.1175117829458765
V113,0.11597582692794363
V48,-0.11578587857757623
V249,0.11388722359124366
V283,0.11273124389389366
V125,0.1119990195286139
V49,-0.11092009108453482
V90,-0.11016802850924827
V185,0.10924541325576792
V29,-0.10785177266357993
V91,-0.10545301705360913
V112,0.10521209993223615
V261,0.10478494260852826
V69,-0.10452063087878109
V282,0.10412294409398411
V30,-0.10308792418958738
V70,-0.10089993699583565
id_26,0.09958696595064678
V108,0.09679437359913746
V114,0.09608600001673956
V245,0.09131969672399029
V141,0.08562757438174287
id_07,-0.08476785965792814
D2,-0.08358321970827122
V110,0.08162973964551863
V116,0.08064377871983976
V142,0.0804108218021689
V248,0.07851776676735445
D15,-0.07751940067231357
V35,-0.07711565286472842
V124,0.07672122015707541
V220,0.07661637397883458
V67,0.07619396234756942
V235,0.07619366563521253
V10,-0.07465802934887152
V281,0.07262721128139693
V62,0.072398833449408
D10,-0.07200190861826036
V11,-0.07194973041245215
V36,-0.069874753181737
id_32,0.06970167797713478
V83,0.06915472593125514
V169,0.06810293439986481
D4,-0.06721630255951244
D1,-0.06719305903570927
D5,-0.06463762954147881
V150,-0.06396456514351566
id_21,0.06354388003380959
V251,0.06334827593073718
V159,-0.062660390868171
V160,-0.062338297445950756
V145,-0.06196403666644891
id_20,0.06159651342823062
V56,0.06135614794276834
V109,0.060994001066499146
V151,-0.060868017521396894
id_04,-0.05970132128618398
D13,-0.05943039213973794
V152,-0.05915385931556769
id_08,-0.05748877227233243
id_14,0.05732373315482291
D6,-0.05723557903343919
V115,0.05710820737634999
V191,0.055191912860484124
V232,0.054601885949435165
V162,0.05330233623360741
V256,0.05304312268997186
V12,-0.0524060091750912
V75,-0.05217111840107642
V144,-0.05197017105348797
V165,-0.051398642534157865
V82,0.05111466657016913
V55,0.050113765663225215
id_18,0.050003873606405465
V254,0.049900939076956266
V117,0.049438558182748414
V61,0.049412227637393336
id_02,0.0493978799672118
V3,0.04925741608291181
V315,0.048298096077257706
V119,0.04813451578179975
V218,0.04756506862669401
V53,-0.04739953943952092
V163,0.046532204660988515
V76,-0.046418882854049756
D3,-0.04627138134885001
V233,0.046226158465002734
V219,0.04604195893282537
V217,0.04578522121953928
V13,-0.04570627083804548
V250,0.04521316161848978
D11,-0.04509394193508381
D9,-0.04425253921103117
V237,0.042722323274897216
V138,0.04265831478432152
V289,0.04262921127567785
id_19,-0.04172142105791858
V313,0.04149425290948997
id_03,0.04145664350595913
V231,0.04128936214795311
V118,0.040601370818558476
V20,0.04034101110148294
V290,0.040148936417534864
V236,0.03997919668887101
V161,0.039805988604712135
V314,0.03853532780131927
V196,0.038266215484030405
V255,0.03807494413447317
V9,0.0379147762819368
V66,0.03763085319301179
V312,0.037578126133815955
C2,0.037228939531000003
V54,-0.037025247940656876
V5,0.036903972554250514
V288,0.03532020787437134
V284,0.03530930303505168
id_25,0.0340446770385132
card5,-0.033579555812307954
C8,0.03213871315829315
V301,0.03208656188333917
C12,0.03190528171122748
C9,-0.03170341586419421
V19,0.03090362473299872
C5,-0.030753966713253412
C1,0.03056975965123962
addr2,-0.03038714731539067
C4,0.03038213630507676
V143,-0.0297667921935895
V166,-0.029435877749742576
id_09,0.02943089396632945
D12,-0.02886382784651115
C10,0.028395987456790915
V181,0.02833732993889937
C7,0.028160291640635573
C11,0.027483734598873506
V164,-0.02744513920544541
V98,0.027317813001375625
V271,0.02724846773531279
id_06,-0.02713943481331859
V292,0.026778500159434098
V272,0.025381832704811536
V300,0.02531666071227898
V131,0.02497467727371043
V187,0.024228245343392917
V333,-0.024133896370810506
V324,-0.024006119680191142
V7,0.02349200147721874
V332,-0.023468291149377124
V323,-0.02332862494423307
V329,-0.02309889006590796
V193,0.02206965567876835
V331,-0.021982048900506385
V322,-0.021540788669819975
dist1,0.02152216135032152
V173,-0.021348518349905022
V330,-0.021163925073661834
V212,-0.02113814144966906
C6,0.020908983553783348
V204,-0.020747956187808184
V213,-0.020601304839598118
V291,0.020440597912170407
V287,0.02041684037974724
V309,0.020255807299816613
V203,-0.01994192158645715
V2,0.019872176833452753
V120,0.019678120763398244
V253,0.019651836299500725
id_13,-0.019538027957742593
V234,-0.01935764456292551
V338,-0.019356441581314367
dist2,-0.019053623292596262
V209,-0.018828541917676384
V122,0.018712046864416226
V211,-0.018572492815892797
V192,0.018343566914234985
V202,-0.018027509528309883
V275,0.01712006886532614
V227,0.016991919191671586
V178,-0.01654343691762335
V174,0.01620445673069198
V8,0.016041256498769373
V168,-0.016021114588498597
V26,0.01592904614512219
V179,-0.015904220881860717
V270,0.01568311590889762
V273,0.015675660056657537
V274,0.015517783327583102
V263,0.01473041979800229
V339,-0.014663379418456171
V265,0.014224070688920397
TransactionID,0.014165772702318263
V177,-0.013715499925932748
card1,-0.013639969873036693
V172,-0.013237472944738858
V99,-0.013178826745813568
TransactionDT,0.01310305499304759
V167,-0.012853528116773016
V129,0.012730588175913476
V4,0.012610689217183823
V207,-0.012417636289723928
V121,0.012329530754583271
TransactionAmt,0.011319825333215454
V100,0.011286225991512026
C13,-0.011145752229047992
V310,0.011071035212631123
V328,-0.01105326060915672
id_10,0.011042562365331032
V277,0.010737611969997889
V6,0.01055247763424017
V182,-0.010107615049370893
V278,0.01003954884860948
V205,-0.009895837921395336
V276,0.009680710491207577
V264,0.00935772789983416
V180,-0.009338650071618989
V208,0.009150207922068932
V285,-0.009127666684282588
D14,-0.008662575551178678
id_05,-0.007978411819556774
V225,0.007935938017775104
C14,0.007920558690607982
id_11,0.007914420181457849
V325,0.007792437877404493
V267,-0.007389816222331646
V326,-0.006837540006062297
C3,-0.006833173826653574
V307,0.005948114008690567
V269,-0.00590448635002499
V337,-0.005702428166627169
V206,-0.005695251103899297
addr1,0.005595762757557195
V96,-0.005484463663539872
V335,-0.0054559581886120985
V266,-0.005256878230003608
V89,-0.00518774184771808
V268,-0.005161072679026212
V103,-0.0051207189203263314
V317,0.005009759916373738
V27,-0.004979400635690785
V320,0.004960880975738037
V28,-0.004894602580518797
V214,0.004850812415305462
V102,-0.0048476217931555975
V215,-0.004800878155437761
V101,-0.004712109985836286
V293,-0.0045008042513328735
V97,-0.004490564812846127
